,0
Pekerjaan_Mahasiswa,0.1058359762745448
Pendapatan,0.1014347052100911
Pekerjaan_Tidak Bekerja,0.08016862397408998
Pekerjaan_Sopir,0.06762327325689933
Pendidikan_SD,0.0652537600010816
KodeKota_K126,0.04952997849697585
KodeKota_K9,0.047883872996618546
KodeKota_K72,0.04677634251367869
KodeKota_K89,0.046097615386941605
KodeKota_K122,0.03575948334629243
StatusPerkawinan_Menikah,0.03224543338182821
KodeKota_K121,0.030330939365265663
KodeKota_K73,0.029785436895021545
KodeKota_K108,0.029680611157047915
KodeKota_K60,0.027724350374446503
KodeKota_K66,0.023892567807603862
KodeKota_K31,0.01895790433140052
KodeKota_K45,0.018368515596758943
Pendidikan_Sarjana,0.0174717795968719
KodeKota_K27,0.014044943156205747
KodeKota_K129,0.01160740623705826
Pendidikan_SMP,0.011565598810950253
TujuanKredit_Pendidikan,0.010363238672345556
KodeKota_K105,0.004058872328685901
KodeKota_K62,0.0019890895475770075
KodeKota_K15,0.001432528288743821
KodeKota_K30,0.0014307518349837625
KodeKota_K67,1.9805422654733946e-05
JumlahPinjaman,-0.0
Usia,0.0
KodeKota_Lain-Lain,-0.0
KodeKota_K95,-0.0
KodeKota_K81,0.0
Pekerjaan_Teknisi,0.0
Pekerjaan_Pedagang,0.0
Pekerjaan_Petani,-0.0
SkorKredit,-0.0
StatusPerkawinan_Cerai,0.0
KodeKota_K143,0.0
KodeKota_K21,0.0
KodeKota_K26,-0.0
KodeKota_K115,0.0
KodeKota_K104,-0.0
TujuanKredit_Konsumtif,-0.0
KodeKota_K142,0.0
Pendidikan_SMA,0.0
KodeKota_K53,0.0
KodeKota_K28,0.0
KodeKota_K147,0.0
KodeKota_K79,-0.0
KodeKota_K14,-0.0008160861310292286
TujuanKredit_Modal Usaha,-0.007993122803964534
KodeKota_K118,-0.009627295331050072
KodeKota_K11,-0.009816475291460425
KodeKota_K114,-0.020295361873605342
KodeKota_K19,-0.020905641548010147
KodeKota_K42,-0.021642638331403126
Pekerjaan_Karyawan Swasta,-0.021779272647791857
KodeKota_K58,-0.024234836275174323
KodeKota_K141,-0.024485973073767275
KodeKota_K117,-0.026866299621886948
KodeKota_K140,-0.02706017593583736
KodeKota_K86,-0.02967069004122208
KodeKota_K116,-0.032293460574094476
KodeKota_K3,-0.03652764734634397
KodeKota_K13,-0.03887473509750669
KodeKota_K130,-0.04292123076206714
TujuanKredit_Renovasi Rumah,-0.043820741367746274
KodeKota_K109,-0.047297028776429634
KodeKota_K90,-0.04856617773750613
KodeKota_K107,-0.049413506298217
Pekerjaan_Wiraswasta,-0.0504879439300562
KodeKota_K39,-0.051097609746962994
KodeKota_K139,-0.054758900135289106
KodeKota_K17,-0.05495759755934192
KodeKota_K55,-0.056413429248792155
KodeKota_K35,-0.058040302628536614
Pekerjaan_PNS,-0.07393377330975996
